order_id,user_id,order_dow,order_hour_of_day
96743,6664,0,11
29975,6665,3,9
93567,6667,0,14
21721,6667,3,0
107675,6667,5,20
76966,6672,2,11
98569,6672,1,10
32740,6673,5,11
23893,6682,6,10
18348,6688,6,18
9046,6689,2,13
28844,6690,2,21
20281,6692,6,19
30523,6693,1,13
2989,6696,1,8
30487,6696,5,12
16565,6697,0,8
107743,6698,6,15
14818,6698,0,7
110445,6704,0,15
19294,6705,1,16
22198,6705,1,23
26235,6707,6,17
75412,6708,0,16
11148,6709,1,8
48827,6710,5,11
63405,6710,5,9
95477,6710,1,12
21820,6710,5,11
105176,6710,4,11
72096,6710,2,16
43386,6710,5,16
61438,6710,5,12
77171,6710,3,15
63968,6714,3,20
61261,6714,5,16
79806,6714,4,17
65059,6719,0,14
73403,6721,3,12
4849,6721,0,12
33572,6724,6,13
98313,6733,5,16
84991,6734,6,18
21745,6734,4,18
10672,6735,2,9
25736,6736,4,22
3908,6739,1,12
53527,6739,4,9
97202,6742,5,13
27768,6743,5,9
89482,6746,5,9
60365,6747,4,17
3315,6754,0,7
5206,6754,5,16
53965,6754,4,17
104201,6756,6,13
7604,6756,3,9
56599,6757,5,18
54935,6759,0,14
68527,6764,4,10
101346,6764,0,16
76175,6765,3,13
60049,6765,0,13
65949,6765,1,9
1712,6766,2,16
94891,4,5,13
23391,7,0,10
68288,10,5,15
83395,10,3,15
19256,13,1,12
86918,19,5,16
62373,21,1,14
77791,21,3,9
8382,23,0,10
65724,27,4,15
7099,27,3,10
72626,32,3,9
14400,36,1,18
86313,37,6,12
19190,42,1,19
77399,42,1,9
31801,46,1,13
103726,50,3,9
79015,54,2,19
51418,54,4,23
100777,54,4,11
75972,54,6,12
48293,57,5,7
107377,63,6,8
97480,63,4,8
77449,63,1,12
33681,64,5,0
4595,66,3,21
46584,67,1,19
29758,67,0,14
35187,68,5,12
29902,70,2,17
21889,71,2,15
64791,75,2,13
44604,75,4,11
20042,75,3,12
85768,78,0,8
91957,78,0,14
80629,82,5,16
63916,82,5,10
88090,87,5,7
91180,89,0,12
66340,90,3,12
1483,90,3,13
32664,90,3,10
53644,90,1,10
81906,107,3,14
38772,110,0,20
65254,110,5,14
102218,112,1,15
77613,113,3,22
62381,114,0,12
19682,118,1,7
33119,126,0,12
32138,126,0,15
59226,129,0,18
47897,131,6,8
88224,132,1,9
50139,132,5,8
107326,133,6,18
62071,136,0,15
16785,137,0,14
28517,138,6,14
22418,140,3,14
60985,142,6,11
81012,142,6,14
85287,146,3,10
92708,146,6,10
59415,146,5,11
12278,150,3,17
2199,150,4,14
44449,153,0,16
60318,154,0,10
5640,155,2,0
24217,159,4,9
84983,161,2,21
28065,164,6,10
54200,164,6,16
38018,168,4,13
66496,173,2,11
4307,173,3,16
85209,174,0,15
30855,176,1,12
34164,187,1,14
97801,189,4,9
55124,194,5,18
28047,195,0,13
85844,195,2,9
42996,195,5,15
77476,204,5,11
73959,204,2,14
97396,205,5,13
2593,206,6,13
84788,206,6,17
3449,208,1,11
83873,209,1,14
12659,210,3,19
110472,210,5,9
27316,210,4,16
90696,210,0,14
46152,210,0,8
75067,212,0,1
54473,212,3,11
6524,214,1,20
38440,214,2,9
99055,216,5,19
12218,218,3,16
38900,219,4,11
101947,222,4,13
93554,222,1,8
68264,222,1,7
4163,222,2,10
30057,223,1,9
65779,223,1,9
13118,226,2,14
23828,229,3,9
18621,233,5,11
43520,234,0,13
47926,234,0,10
65234,236,1,15
26797,236,0,17
80156,236,0,17
72935,236,2,21
10077,236,5,10
14197,248,1,14
61670,248,3,16
29921,248,4,12
99655,248,6,12
52770,254,5,19
29171,257,1,0
38150,262,2,9
30721,262,3,13
45718,265,3,6
48012,266,4,14
26217,270,4,7
84339,271,1,21
23723,271,3,13
28396,271,4,14
48235,274,5,18
32562,275,0,17
68864,277,6,16
58931,278,1,11
49068,279,1,15
84755,280,1,18
34705,280,6,20
106356,284,2,9
101477,287,3,9
23114,289,5,19
41236,290,6,11
47940,290,6,10
44163,290,5,19
51674,295,4,11
31680,304,4,21
58182,307,2,8
46306,309,1,12
49144,310,3,10
84044,310,4,11
62412,311,1,9
77226,313,2,13
40433,316,4,15
57527,319,5,10
52830,323,1,9
12404,323,2,12
43288,327,6,18
88934,329,6,13
40443,334,0,16
47088,334,5,19
80170,334,3,23
19455,334,2,16
78978,335,2,15
77020,336,3,16
59335,346,3,18
43157,348,4,13
101205,348,4,13
97930,348,5,9
106864,350,0,14
70935,350,6,13
103099,352,0,3
10423,355,3,8
79222,364,4,18
93384,369,0,21
19073,370,6,22
68647,373,6,14
101857,373,5,13
72570,373,4,13
10985,378,1,12
41226,379,3,12
22233,380,3,15
18296,381,0,11
73511,382,1,18
40,382,1,15
76088,389,6,17
68296,390,0,14
81833,393,4,10
33104,394,1,14
13107,396,0,13
106775,400,2,17
52274,403,0,17
82115,408,0,13
23890,409,5,15
95113,410,1,18
36384,410,3,8
103063,410,3,16
23905,413,6,9
97902,413,2,11
19282,417,3,18
58188,420,6,13
85374,420,1,14
55675,422,3,13
109860,422,5,16
18934,422,5,10
98810,423,2,13
13731,423,2,10
37156,427,4,1
46916,429,2,15
27896,430,2,7
37842,435,0,15
63256,439,3,12
18331,440,2,15
88228,442,5,14
58281,448,0,10
64153,448,3,20
84427,449,5,17
4890,451,2,8
99333,451,2,8
18663,453,3,14
102306,454,2,14
44495,454,2,12
66946,454,5,14
56645,454,3,16
105958,464,2,22
63865,464,1,11
95917,465,2,11
21686,468,6,14
31669,470,5,10
26253,474,3,16
108130,474,0,13
48109,475,1,14
54191,481,0,18
11348,481,0,14
107824,487,0,14
32927,495,2,19
65245,495,3,17
53865,495,3,17
21881,496,3,13
10837,496,5,17
66352,498,1,18
214,503,0,16
74500,503,0,17
3452,508,4,16
50379,514,1,13
85333,520,0,12
44598,520,4,18
9841,521,1,14
51551,523,2,14
43352,528,0,12
17338,529,6,12
91703,531,1,7
37725,535,2,14
69374,538,0,15
105418,538,0,11
98734,539,3,11
32153,541,6,23
102978,541,0,10
60788,550,6,10
95192,558,5,23
44733,559,2,18
84264,559,6,13
26564,560,1,12
27662,562,1,13
81892,562,4,16
85933,567,1,9
17710,568,6,21
48196,573,5,14
80740,581,2,11
88631,583,6,19
3927,583,0,13
5293,585,0,12
103768,587,2,13
22028,587,6,7
36055,591,2,9
11333,593,0,11
59138,593,6,14
68022,596,3,16
61110,596,6,14
42479,597,5,16
48663,604,6,9
52981,606,2,15
42120,609,0,13
36065,611,6,10
71688,612,3,6
92805,612,6,10
69509,612,0,10
49954,616,4,9
36346,616,4,16
60170,623,4,6
35423,623,1,10
16675,5361,0,15
44871,5361,0,13
25364,5362,4,12
82801,5363,5,11
86570,5363,4,9
100196,5364,3,14
18178,5365,1,21
90908,5366,5,8
76305,5367,1,17
15854,5374,6,7
73644,5377,3,14
44500,5377,4,19
45465,5377,1,0
33318,5377,0,18
109613,5377,0,9
96840,5379,0,16
27534,5381,2,9
14791,5387,0,13
15060,5392,6,14
30265,5392,3,12
73349,5393,5,18
15771,5394,0,11
56907,5395,3,8
70498,5395,3,6
23999,5400,1,17
92387,5402,2,15
19970,5408,3,7
11199,5409,0,10
102283,5409,6,13
72323,5410,2,18
80544,5410,1,14
34334,5412,2,11
15671,5412,3,13
92429,5415,1,16
61970,5420,1,15
57331,5424,0,8
70282,5426,0,10
64,5430,0,16
75684,5430,1,10
99427,5430,0,8
31851,5430,5,15
69621,5435,6,7
16727,5436,0,8
14482,5439,3,10
31929,5440,5,6
49301,5440,1,20
3513,5441,4,20
4591,5441,0,12
37507,5443,5,11
52952,5443,3,11
82881,5444,0,19
38115,5447,3,23
39088,5448,1,12
65940,5449,3,19
47394,5449,0,18
6825,5449,2,18
30115,5449,6,23
53215,5449,0,16
28092,5452,1,16
14519,5453,0,15
48775,5453,3,16
64065,5457,3,9
50722,5458,5,11
83132,5461,5,12
47015,5461,1,1
97078,5463,1,11
24089,5465,1,20
64921,5466,0,10
78883,5469,4,2
87430,5469,4,9
17633,5473,0,17
25891,5473,2,22
5334,5474,5,12
68229,5477,2,20
79210,5478,0,17
35138,5479,5,19
73589,5483,6,18
106437,5484,4,14
68765,5484,3,12
14194,5493,3,10
26680,5493,0,17
17307,5493,4,10
48439,5495,1,10
25268,5498,0,22
33704,5500,4,11
104704,5501,2,23
12614,5502,5,16
37192,5504,5,11
26568,5519,5,8
67445,5530,3,16
7911,5536,3,12
41828,5537,1,16
92488,5540,5,19
42634,5540,3,18
100584,5540,2,10
47431,5541,4,15
109889,5541,2,15
90881,5542,0,16
61233,5542,0,12
3062,5543,0,12
14867,5543,1,13
41440,5543,2,11
97307,5544,2,10
36127,5547,4,15
41770,5548,5,7
38834,5549,0,12
6047,5552,2,13
55104,5554,3,14
84179,5557,2,19
75297,5559,0,16
86469,5559,0,17
21157,5568,1,10
104937,5572,1,9
38592,5574,3,20
3660,5575,6,13
41926,5580,2,14
42703,5583,1,13
44424,5583,1,12
29370,5583,3,19
48807,5585,0,19
92592,5587,3,10
20741,5587,3,8
24010,5588,4,11
51363,5588,3,13
7948,5588,5,15
103401,626,6,14
98018,629,6,12
42111,630,5,12
84559,630,5,13
32165,631,3,18
17714,635,5,12
106871,635,5,8
88039,636,5,12
56093,641,0,18
98280,641,0,13
31051,646,4,14
10011,649,0,19
95253,649,0,17
12174,650,6,9
25381,652,6,15
27955,652,6,10
4515,652,6,13
80040,653,3,18
10291,653,5,18
41759,654,6,12
55110,655,4,15
9667,655,1,19
67610,656,5,15
95125,657,4,21
109354,658,0,15
88562,660,0,15
81096,662,2,14
18504,667,5,20
27736,667,1,9
106643,667,3,15
67209,667,1,13
26466,669,4,12
26846,672,3,13
81248,675,0,13
46887,676,0,11
1770,678,3,13
29667,682,2,22
47583,682,0,10
94502,683,0,18
85077,688,1,10
9068,688,3,9
90065,690,4,11
56729,713,4,13
44476,714,0,23
53328,715,2,11
24733,719,4,10
83354,719,2,16
107975,719,6,13
95274,719,0,13
78907,720,2,12
45101,729,5,9
100729,729,2,10
56113,732,4,11
47095,732,5,12
86037,740,2,17
36640,741,6,15
90239,741,6,11
66073,746,0,15
11249,756,3,12
8171,756,0,11
48248,758,0,15
50539,762,2,18
40919,762,2,13
59891,767,1,17
91139,768,1,18
28272,770,4,17
54145,773,6,12
14836,773,2,18
32214,775,0,12
33581,786,3,10
42687,786,2,11
42137,786,0,20
4572,787,4,9
1520,787,5,13
79610,793,3,12
92864,795,0,13
46961,795,6,21
15819,800,3,10
47382,804,1,9
92402,806,6,13
23757,806,0,11
60010,812,6,8
76946,815,2,12
25037,817,5,14
82136,818,5,15
3558,818,2,20
51241,821,6,15
46069,823,2,23
5010,824,3,8
86852,831,6,11
62280,836,0,18
106712,838,2,9
34071,839,3,14
31495,849,3,21
79154,849,5,9
70579,852,2,17
68711,854,3,8
7504,854,2,15
28322,854,3,14
109836,854,0,14
99962,855,1,15
81041,855,0,10
39741,856,3,13
51620,857,3,20
56330,857,0,10
11100,857,5,14
103933,858,4,12
73721,858,2,12
44224,858,4,10
65017,859,5,18
18268,868,3,15
91212,868,6,15
27907,868,5,7
63338,868,1,12
56741,869,6,10
101352,874,0,16
98673,878,3,16
65096,879,5,5
91538,879,5,11
45111,885,0,17
30674,885,2,23
28375,885,0,20
105184,888,6,15
96864,890,6,6
52362,891,5,15
44722,891,2,19
6892,892,6,22
32101,894,2,8
67042,894,0,11
34146,898,5,19
68651,898,1,10
29409,898,5,8
58187,907,4,8
69401,911,2,9
17240,911,1,16
44287,914,1,13
93552,914,0,8
103672,915,0,17
3245,917,1,9
74131,918,3,22
10627,920,4,10
67606,921,0,16
101816,931,2,18
57746,932,2,21
42594,932,6,17
8913,933,0,14
103603,933,0,11
93802,933,0,11
43718,938,3,16
18985,938,0,12
92309,942,0,12
41409,943,0,8
71502,947,6,17
15953,961,6,14
75997,961,1,16
72171,963,5,12
9209,963,5,10
18406,964,5,15
10897,967,3,10
107793,968,3,12
178,971,3,11
52297,973,4,19
108268,973,4,18
33424,975,0,18
10816,978,2,9
58378,980,2,8
83780,982,0,20
28000,982,0,12
53252,984,0,17
97484,984,0,16
57055,987,2,10
58766,992,5,13
88614,992,6,13
61407,993,0,12
73284,999,2,17
9458,999,1,9
18216,1000,6,16
63879,1002,2,13
63458,1003,0,21
67413,1004,1,17
85257,1004,6,15
106882,1004,1,19
99648,1005,3,3
32025,1006,6,15
22676,1009,3,18
96915,1015,2,12
79671,1018,6,17
49894,1018,0,15
83066,1021,4,20
94916,1022,5,10
29926,1022,5,18
47336,1024,6,9
28208,1024,2,16
97976,1024,3,13
93307,1024,0,14
58800,1024,6,9
106191,1033,3,6
109313,1035,1,16
49717,1038,5,9
107482,1042,4,15
24533,1043,1,14
21051,1044,4,20
24398,1044,6,12
21416,1050,2,16
23655,1050,4,22
12391,1050,1,17
87062,1056,0,21
42171,1058,2,17
68658,1059,1,9
280,1059,1,10
21677,1061,6,13
42448,1062,6,17
104767,1066,1,10
75187,1066,2,11
106221,1066,6,12
4864,1072,5,11
94478,1075,1,9
67310,1076,4,11
64435,1077,0,11
53700,1079,4,16
32362,1081,6,19
7581,1082,1,19
66936,1083,3,18
54474,1083,2,16
57447,1084,0,15
94356,1084,5,16
48843,1092,1,15
15078,1095,2,23
51714,1096,0,12
41715,1101,4,10
15354,1103,3,11
14093,1105,5,7
66341,1107,0,14
55989,1111,5,13
64421,1120,1,16
50843,1120,1,9
15276,1120,5,11
19639,1122,0,15
51245,1130,4,10
28331,1130,2,10
36054,1130,1,9
48172,1131,0,13
42429,1133,2,14
27287,1135,6,13
108205,1138,4,15
60593,1138,0,14
41174,1138,3,11
20000,1139,1,10
28705,1140,3,11
55534,1149,2,18
36608,1150,4,13
104113,1151,6,19
49589,1155,6,11
15789,1156,1,11
51293,1159,0,14
38982,1161,1,16
40703,1164,4,19
18215,1164,6,9
8239,1164,0,22
48588,1164,6,13
34177,1164,2,19
61213,1165,1,11
104022,1171,6,10
82860,1173,2,9
45053,1175,4,13
637,1177,5,17
65267,1182,2,10
80295,1186,6,18
82638,1186,5,19
65923,1188,5,8
93014,1188,0,19
60811,1189,4,9
18704,1191,1,7
70681,1191,3,10
63624,1197,5,9
109675,1199,2,14
81095,1199,2,16
40839,1202,3,15
25443,1202,5,15
51278,1202,5,9
8179,1202,5,11
17290,1203,4,11
88526,1208,6,11
25996,1210,6,14
93989,1213,0,13
83853,1213,6,15
98334,1213,1,13
68514,5589,1,16
86487,5590,2,18
1823,5591,2,15
70881,5595,0,17
23882,5598,4,15
27277,5601,1,8
91558,5602,6,14
63263,5602,6,18
58959,5602,6,19
43728,5602,5,19
56858,5607,4,13
7981,5610,6,14
21002,5613,1,11
92829,5614,6,19
92502,5614,0,17
62322,5620,6,18
39935,5626,6,13
6865,5629,3,14
77734,5631,6,18
84031,5634,2,15
50856,5634,6,19
78094,5638,5,9
75630,5639,6,10
33286,5639,5,7
52329,5639,3,10
72118,5641,1,11
4687,5642,5,16
108831,5645,1,8
8207,5647,0,17
102607,5651,0,14
66286,5651,4,23
78079,5655,6,16
22801,5665,5,9
59117,5665,5,12
53691,5667,1,17
102816,5667,4,17
80030,5669,2,18
35348,5669,0,8
110718,5669,6,18
47269,5669,1,9
72304,5672,4,17
3088,5674,2,15
105738,5682,3,15
79877,5682,4,2
78539,5687,2,22
34142,5690,4,18
1079,5692,1,19
55116,5692,5,11
105409,5692,4,20
6727,5692,4,8
28239,5695,6,12
107985,5701,5,14
99490,5703,3,21
85232,5705,0,16
98225,5712,2,10
25463,5712,0,13
54614,5714,1,15
45300,5714,4,17
79498,5714,3,10
32739,5715,5,21
4853,5718,6,14
558,5721,1,11
52087,5728,3,9
99583,5728,0,12
64528,5728,1,10
71283,5728,4,11
83123,5728,5,14
103355,5728,1,21
6894,5729,6,0
49016,5730,1,16
27594,5731,3,17
23706,5732,1,19
25504,5732,2,21
101899,5735,4,20
67,5738,3,12
26614,5738,0,9
40841,5745,5,13
12966,5745,1,11
99498,5747,3,17
99587,5748,1,19
66550,5750,0,7
27131,5757,0,7
7269,5758,6,18
66455,5760,3,14
25032,5762,6,8
43091,5765,0,16
35460,5765,6,8
25492,5769,2,11
56678,5773,0,11
64915,5776,6,15
12448,5777,4,5
87635,5777,4,8
10715,5779,0,8
5938,5779,0,8
55492,5781,1,17
11524,5782,2,17
16397,5785,0,12
65569,5787,0,12
16100,5788,6,16
5575,5789,5,12
101228,5792,0,18
39662,5798,1,13
1375,5801,1,17
45393,5802,1,15
6217,5802,1,18
30443,5806,0,23
15427,5808,0,10
82706,5809,6,19
45042,5809,3,13
82292,5809,4,7
78911,5812,1,18
82501,5815,3,9
5350,5818,5,9
8242,5824,4,10
83718,5825,1,9
58662,1219,2,11
70199,1221,0,18
41787,1221,0,10
74316,1221,0,10
20831,1223,0,16
19305,1225,0,10
32339,1232,3,14
86828,1233,0,14
13020,1235,0,19
13669,1235,1,19
19320,1237,0,21
17844,1240,6,15
99762,1240,1,10
79297,1241,6,13
9292,1241,3,14
108889,1242,1,3
4558,1242,6,14
57713,1242,6,12
83600,1242,1,11
103084,1243,1,19
33949,1243,4,17
15030,1246,0,20
90498,1250,4,9
85477,1252,4,8
71008,1257,2,12
95652,1258,4,23
63025,1258,6,11
78055,1261,2,17
1103,1263,1,13
80004,1263,2,12
98185,1264,0,18
41395,1264,0,15
889,1264,1,7
60357,1264,1,7
37676,1266,1,16
108163,1267,1,11
45489,1269,5,16
15036,1271,0,14
67545,1271,0,13
69031,1272,6,16
21503,1273,5,14
12857,1274,4,18
95020,1279,0,11
87797,1284,6,19
88826,1290,4,14
74167,1292,0,14
100489,1296,1,11
45536,1297,4,17
39731,1299,0,14
18259,1302,5,11
63190,1310,2,10
96765,1310,4,16
96945,1310,2,14
78736,1316,3,14
25683,1321,1,22
54172,1321,6,16
