product_id,product_name,aisle_id,department_id
1,Chocolate Sandwich Cookies,61,19
2,All-Seasons Salt,104,13
3,Robust Golden Unsweetened Oolong Tea,94,7
4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,38,1
8,Cut Russet Potatoes Steam N' Mash,116,1
10,Sparkling Orange Juice & Prickly Pear Beverage,115,7
12,Chocolate Fudge Layer Cake,119,1
14,Fresh Scent Dishwasher Cleaner,74,17
18,Pizza for One Suprema  Frozen Pizza,79,1
23,Organic Turkey Burgers,49,12
25,Salted Caramel Lean Protein & Fiber Bar,3,19
26,Fancy Feast Trout Feast Flaked Wet Cat Food,41,8
27,Complete Spring Water Foaming Antibacterial Hand Wash,127,11
28,Wheat Chex Cereal,121,14
29,Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn,81,15
30,Three Cheese Ziti Marinara with Meatballs,38,1
32,Nacho Cheese White Bean Chips,107,19
34,Peanut Butter Cereal,121,14
35,Italian Herb Porcini Mushrooms Chicken Sausage,106,12
36,Traditional Lasagna with Meat Sauce Savory Italian Recipes,38,1
37,Noodle Soup Mix With Chicken Broth,69,15
40,Beef Hot Links Beef Smoked Sausage With Chile Peppers,106,12
42,Biotin 1000 mcg,47,11
43,Organic Clementines,123,4
44,Sparkling Raspberry Seltzer,115,7
45,European Cucumber,83,4
46,Raisin Cinnamon Bagels 5 count,58,1
47,Onion Flavor Organic Roasted Seaweed Snack,66,6
49,Vegetarian Grain Meat Sausages Italian - 4 CT,14,20
50,Pumpkin Muffin Mix,105,13
53,Whole Leaf Pure Aloe With Lemon Juice,98,7
54,24/7 Performance Cat Litter,41,8
56,Healthy Pop Butter Popcorn,23,19
59,Medium Taqueria Style Chipotle Salsa,50,19
63,Banana & Sweet Potato Organic Teething Wafers,92,18
64,Autumn Vegetable & Turkey Dinner with Lil' Bits Purees Dinner,92,18
65,Organic Red Wine & Olive Oil Dressing Organic,89,13
66,European Style Spring Mix,123,4
67,Jelly Blackberry,88,13
71,Ultra 7 Inch Polypropylene Traditional Plates,111,17
74,Artisan Chick'n & Apple Sausage,14,20
75,Hemp Protein Organic,65,11
77,Coconut Chocolate Chip Energy Bar,3,19
79,Wild Albacore Tuna No Salt Added,95,15
81,Blakes Chicken Parmesan Dinner,38,1
82,All Natural 100% Apple Juice,98,7
83,100% Whole Wheat Pita Bread,128,3
86,Camilia Single Liquid Doses,6,2
87,Classics Earl Grey Tea,94,7
88,Probiotics High Potency Capsules,47,11
93,Uncured Cracked Pepper Beef,23,19
94,Organic Blueberry Blitz Fruit & Veggie Smoothie Mashups,92,18
95,Organic Rice Vinegar,66,6
96,Sprinklez Confetti Fun Organic Toppings,97,13
97,Organic Chamomile Lemon Tea,94,7
99,Local Living Butter Lettuce,83,4
100,Peanut Butter & Strawberry Jam Sandwich,38,1
101,Bread Healthy Whole Grain,112,3
102,Danish Butter Cookies,61,19
104,High Fiber Tomato Basil Soup,69,15
106,Organic Yummy Tummy Maple & Brown Sugar Instant Oatmeal,92,18
107,Mild Salsa Divino,51,13
108,Organic Sprouted Barley Bread,112,3
109,Grape Leaf Hummus Wrap,13,20
111,Fabric Softener Geranium Scent,75,17
112,Hot Tomatillo Salsa,51,13
115,Scooby-Doo! Fruit Flavored Snacks,50,19
116,English Muffins,93,3
117,Petit Suisse Fruit,2,16
118,Ground Turkey Chub,34,1
119,Chardonnay Paso Robles,62,5
121,Sharp Cheddar,21,16
123,Sherry Reserve Vinegar,19,13
124,Sun Cups Dark Chocolate,45,19
126,Hot & Spicy Chicken Flavor Ramen Noodles,4,9
127,Marscapone,108,16
128,Organic Wild Blueberries,116,1
129,Traditional Chicken & Orzo with Lemon Soup,69,15
130,Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,37,1
131,Brioche Bachelor Loaf,93,3
132,Yogurt Strawberry Pomegranate,120,16
137,Very Vanilla Soymilk,91,16
138,Olli Napoli Salami,96,20
141,Restaurant Style Organic Chia & Quinoa Tortilla Chips,107,19
143,Organic Lemons,24,4
148,Nectarines,24,4
149,Wild Blueberry All Natural Fruit Spread,88,13
150,Brut Rosé,134,5
153,Fabric Refresher Meadows & Rain Air Freshener (1 Count 27 oz)  Air Care,75,17
154,Corn Dogs Mini Honey Crunchy Flavor,129,1
155,Artisan Ciabatta,58,1
156,Extra Spearmint Sugar-Free Gum,46,19
157,Living Organic Cilantro,16,4
159,Calcium Adult Gummy Vitamins Orange Cherry & Strawberry,47,11
160,100% Recycled Aluminum Foil,97,13
162,Organic Mini Homestyle Waffles,52,1
165,Wild Chanterelle Mushroom Ravioli,12,9
167,Sparkling Blush Grape Juice,77,7
168,Halves & Pieces Walnuts,17,13
169,Extra Sharp Cheddar Cheese,21,16
176,Original Turkey,96,20
181,Country Style Baked Beans,59,15
184,Kisses Milk Chocolate Candy,45,19
185,Chicken Nugget Meal,38,1
186,Fresh Scent Dishwasher Detergent with Dawn,74,17
187,Wild Sardines in Marinara Sauce,95,15
188,Mild El Nino Salsa,67,20
190,Classic Culinary Low Sodium Vegetable Broth,69,15
194,Lamb Rib Chops,122,12
196,Soda,77,7
198,Tzatziki Cucumber Sauce,67,20
199,Herb Thyme Clamshell,16,4
204,Free & Clear Natural Laundry Detergent For Sensitive Skin,75,17
206,Roasted Vegetable Soufflé,38,1
207,Minis Candy Bars,45,19
210,Homemade Hot Arrabbiata Fra Diavolo Sauce,9,9
211,Gluten Free Organic Cereal Coconut Maple Vanilla,130,14
212,Organic Blue Corn Sea Salt Tortilla Chips,107,19
213,Tapatio Salsa Picante Hot Sauce Tortilla Chips,107,19
215,Sambal Oelek Ground Fresh Chili Paste,66,6
216,Gluten Free Oatmeal Variety Pack,130,14
217,String Cheese Mozzarella,108,16
219,Totz Toothbrush Extra Soft 18+ Months,82,18
222,Honey Nut Oatmeal Squares,121,14
223,Kiwi Strawberry Sparkling Water,115,7
226,Shaved Parmesan Cheese,21,16
228,Organic Soups Lentil,69,15
231,Low Sodium Turkey,49,12
233,Chinese Breakfast Black Tea,94,7
236,Chicken Meatballs Dog Treats,40,8
239,Chicharrones Picante Flavor Pork Rinds,107,19
242,Original Red Twists,45,19
245,Poppy Seed Bagels,93,3
